"id_cheptel","id_commune","id_volume","ra_3010_dim2_mod","ra_3010_dim3_mod","n118_mod","n027_mod","valeur","volume"
34,11,1,4,1,0.12,40,203,153399
35,11,1,5,1,0,40,31,153399
36,11,1,5,1,0.11,40,17,153399
37,11,1,5,1,0.12,40,14,153399
38,11,1,6,1,0,40,175,153399
39,11,1,6,1,0.11,40,68,153399
40,11,1,6,1,0.12,40,107,153399
41,11,1,7,1,0,40,31,153399
42,11,1,7,1,0.11,40,17,153399
43,11,1,7,1,0.12,40,14,153399
44,11,1,10,1,0.11,40,733,153399
45,11,1,11,1,0,40,1125,153399
46,11,1,12,1,0,40,99,153399
47,11,1,12,1,0.11,40,26,153399
48,11,1,12,1,0.12,40,73,153399
49,11,1,1,1,0,40,979,153399
50,11,1,1,1,0.11,40,294,153399
1,12,1,1,1,0,40,742,153399
2,12,1,1,1,0.11,40,376,153399
3,12,1,1,1,0.12,40,366,153399
4,12,1,2,1,0,40,475,153399
5,12,1,2,1,0.11,40,241,153399
6,12,1,2,1,0.12,40,234,153399
7,12,1,4,1,0,40,475,153399
8,12,1,4,1,0.11,40,241,153399
9,12,1,4,1,0.12,40,234,153399
10,12,1,5,1,0,40,42,153399
11,12,1,5,1,0.11,40,32,153399
12,12,1,5,1,0.12,40,10,153399
13,12,1,6,1,0,40,225,153399
14,12,1,6,1,0.11,40,103,153399
15,12,1,6,1,0.12,40,122,153399
16,12,1,7,1,0,40,78,153399
17,12,1,7,1,0.11,40,56,153399
18,12,1,7,1,0.12,40,22,153399
19,12,1,8,1,0,40,400,153399
20,12,1,10,1,0,40,2325,153399
21,12,1,10,1,0.11,40,857,153399
22,12,1,10,1,0.12,40,1468,153399
23,12,1,11,1,0,40,2039,153399
24,12,1,11,1,0.11,40,738,153399
25,12,1,11,1,0.12,40,1301,153399
26,12,1,1,1,0,40,609,153399
27,12,1,1,1,0.11,40,285,153399
28,12,1,1,1,0.12,40,324,153399
29,12,1,2,1,0,40,403,153399
30,12,1,2,1,0.11,40,200,153399
31,12,1,2,1,0.12,40,203,153399
32,12,1,4,1,0,40,403,153399
33,12,1,4,1,0.11,40,200,153399
34,12,1,4,1,0.12,40,203,153399
35,12,1,5,1,0,40,31,153399
36,12,1,5,1,0.11,40,17,153399
37,12,1,5,1,0.12,40,14,153399
38,12,1,6,1,0,40,175,153399
39,12,1,6,1,0.11,40,68,153399
40,12,1,6,1,0.12,40,107,153399
41,12,1,7,1,0,40,31,153399
42,12,1,7,1,0.11,40,17,153399
43,12,1,7,1,0.12,40,14,153399
44,12,1,10,1,0.11,40,733,153399
45,12,1,11,1,0,40,1125,153399
46,12,1,12,1,0,40,99,153399
47,12,1,12,1,0.11,40,26,153399
48,12,1,12,1,0.12,40,73,153399
49,12,1,1,1,0,40,979,153399
50,12,1,1,1,0.11,40,294,153399
1,13,1,1,1,0,40,742,153399
2,13,1,1,1,0.11,40,376,153399
3,13,1,1,1,0.12,40,366,153399
4,13,1,2,1,0,40,475,153399
5,13,1,2,1,0.11,40,241,153399
6,13,1,2,1,0.12,40,234,153399
7,13,1,4,1,0,40,475,153399
8,13,1,4,1,0.11,40,241,153399
9,13,1,4,1,0.12,40,234,153399
10,13,1,5,1,0,40,42,153399
11,13,1,5,1,0.11,40,32,153399
12,13,1,5,1,0.12,40,10,153399
13,13,1,6,1,0,40,225,153399
14,13,1,6,1,0.11,40,103,153399
15,13,1,6,1,0.12,40,122,153399
16,13,1,7,1,0,40,78,153399
17,13,1,7,1,0.11,40,56,153399
18,13,1,7,1,0.12,40,22,153399
19,13,1,8,1,0,40,400,153399
20,13,1,10,1,0,40,2325,153399
21,13,1,10,1,0.11,40,857,153399
22,13,1,10,1,0.12,40,1468,153399
23,13,1,11,1,0,40,2039,153399
24,13,1,11,1,0.11,40,738,153399
25,13,1,11,1,0.12,40,1301,153399
26,13,1,1,1,0,40,609,153399
27,13,1,1,1,0.11,40,285,153399
28,13,1,1,1,0.12,40,324,153399
29,13,1,2,1,0,40,403,153399
30,13,1,2,1,0.11,40,200,153399
31,13,1,2,1,0.12,40,203,153399
32,13,1,4,1,0,40,403,153399
33,13,1,4,1,0.11,40,200,153399
34,13,1,4,1,0.12,40,203,153399
35,13,1,5,1,0,40,31,153399
36,13,1,5,1,0.11,40,17,153399
37,13,1,5,1,0.12,40,14,153399
38,13,1,6,1,0,40,175,153399
39,13,1,6,1,0.11,40,68,153399
40,13,1,6,1,0.12,40,107,153399
41,13,1,7,1,0,40,31,153399
42,13,1,7,1,0.11,40,17,153399
43,13,1,7,1,0.12,40,14,153399
44,13,1,10,1,0.11,40,733,153399
45,13,1,11,1,0,40,1125,153399
46,13,1,12,1,0,40,99,153399
47,13,1,12,1,0.11,40,26,153399
