"id","nom","annref","canton","canton_mod","canton_lib","ra_3010_dim2","ra_3010_dim2_mod","ra_3010_dim2_lib","ra_3010_dim3","ra_3010_dim3_mod","ra_3010_dim3_lib","n118","n118_mod","n118_lib","n027","n027_mod","n027_lib","valeur","qualite"
646,"ra_3010",2003,"canton","2b58","venaco","cheptel",7,"total equides","taille du troupeau",1,"ensemble","classe d'importance de l'exploitation",0.11,"petites exploitations","groupe d'indicateurs",40,"cheptel",11,"oui"
647,"ra_3010",2003,"canton","2b58","venaco","cheptel",7,"total equides","taille du troupeau",1,"ensemble","classe d'importance de l'exploitation",0.12,"moyennes et grandes exploitations","groupe d'indicateurs",40,"cheptel",38,"oui"
648,"ra_3010",2003,"canton","2b58","venaco","cheptel",10,"brebis laitieres","taille du troupeau",1,"ensemble","classe d'importance de l'exploitation",0.11,"petites exploitations","groupe d'indicateurs",40,"cheptel",667,"oui"
649,"ra_3010",2003,"canton","2b59","vescovato","cheptel",5,"bovins d'un an ou plus","taille du troupeau",1,"ensemble","classe d'importance de l'exploitation",0.0,"ensemble des exploitations (hors pacages collectifs)","groupe d'indicateurs",40,"cheptel",47,"oui"
650,"ra_3010",2003,"canton","2b59","vescovato","cheptel",6,"bovins de moins d'un an","taille du troupeau",1,"ensemble","classe d'importance de l'exploitation",0.0,"ensemble des exploitations (hors pacages collectifs)","groupe d'indicateurs",40,"cheptel",54,"oui"
651,"ra_3010",2003,"canton","2b59","vescovato","cheptel",6,"bovins de moins d'un an","taille du troupeau",1,"ensemble","classe d'importance de l'exploitation",0.12,"moyennes et grandes exploitations","groupe d'indicateurs",40,"cheptel",30,"oui"
652,"ra_3010",2003,"canton","2b59","vescovato","cheptel",7,"total equides","taille du troupeau",1,"ensemble","classe d'importance de l'exploitation",0.0,"ensemble des exploitations (hors pacages collectifs)","groupe d'indicateurs",40,"cheptel",34,"oui"
653,"ra_3010",2003,"canton","2b59","vescovato","cheptel",7,"total equides","taille du troupeau",1,"ensemble","classe d'importance de l'exploitation",0.11,"petites exploitations","groupe d'indicateurs",40,"cheptel",7,"oui"
654,"ra_3010",2003,"canton","2b59","vescovato","cheptel",7,"total equides","taille du troupeau",1,"ensemble","classe d'importance de l'exploitation",0.12,"moyennes et grandes exploitations","groupe d'indicateurs",40,"cheptel",27,"oui"
655,"ra_3010",2003,"canton","2b59","vescovato","cheptel",8,"chevres","taille du troupeau",1,"ensemble","classe d'importance de l'exploitation",0.0,"ensemble des exploitations (hors pacages collectifs)","groupe d'indicateurs",40,"cheptel",675,"oui"
656,"ra_3010",2003,"canton","2b59","vescovato","cheptel",9,"brebis nourrices","taille du troupeau",1,"ensemble","classe d'importance de l'exploitation",0.0,"ensemble des exploitations (hors pacages collectifs)","groupe d'indicateurs",40,"cheptel",119,"oui"
657,"ra_3010",2003,"canton","2b59","vescovato","cheptel",10,"brebis laitieres","taille du troupeau",1,"ensemble","classe d'importance de l'exploitation",0.0,"ensemble des exploitations (hors pacages collectifs)","groupe d'indicateurs",40,"cheptel",5611,"oui"
658,"ra_3010",2003,"canton","2b59","vescovato","cheptel",10,"brebis laitieres","taille du troupeau",1,"ensemble","classe d'importance de l'exploitation",0.11,"petites exploitations","groupe d'indicateurs",40,"cheptel",314,"oui"
659,"ra_3010",2003,"canton","2b59","vescovato","cheptel",10,"brebis laitieres","taille du troupeau",1,"ensemble","classe d'importance de l'exploitation",0.12,"moyennes et grandes exploitations","groupe d'indicateurs",40,"cheptel",5297,"oui"
660,"ra_3010",2003,"canton","2b59","vescovato","cheptel",12,"truies reproductrices de 50 kg ou plus","taille du troupeau",1,"ensemble","classe d'importance de l'exploitation",0.0,"ensemble des exploitations (hors pacages collectifs)","groupe d'indicateurs",40,"cheptel",210,"oui"
661,"ra_3010",2003,"canton","2b59","vescovato","cheptel",13,"poulets de chair et coq","taille du troupeau",1,"ensemble","classe d'importance de l'exploitation",0.0,"ensemble des exploitations (hors pacages collectifs)","groupe d'indicateurs",40,"cheptel",22,"oui"
662,"ra_3010",2003,"canton","2b60","vezzani","cheptel",1,"total bovins","taille du troupeau",1,"ensemble","classe d'importance de l'exploitation",0.0,"ensemble des exploitations (hors pacages collectifs)","groupe d'indicateurs",40,"cheptel",919,"oui"
663,"ra_3010",2003,"canton","2b60","vezzani","cheptel",1,"total bovins","taille du troupeau",1,"ensemble","classe d'importance de l'exploitation",0.11,"petites exploitations","groupe d'indicateurs",40,"cheptel",436,"oui"
664,"ra_3010",2003,"canton","2b60","vezzani","cheptel",1,"total bovins","taille du troupeau",1,"ensemble","classe d'importance de l'exploitation",0.12,"moyennes et grandes exploitations","groupe d'indicateurs",40,"cheptel",483,"oui"
665,"ra_3010",2003,"canton","2b60","vezzani","cheptel",2,"total vaches","taille du troupeau",1,"ensemble","classe d'importance de l'exploitation",0.0,"ensemble des exploitations (hors pacages collectifs)","groupe d'indicateurs",40,"cheptel",642,"oui"
666,"ra_3010",2003,"canton","2b60","vezzani","cheptel",4,"vaches allaitantes","taille du troupeau",1,"ensemble","classe d'importance de l'exploitation",0.0,"ensemble des exploitations (hors pacages collectifs)","groupe d'indicateurs",40,"cheptel",642,"oui"
667,"ra_3010",2003,"canton","2b60","vezzani","cheptel",5,"bovins d'un an ou plus","taille du troupeau",1,"ensemble","classe d'importance de l'exploitation",0.0,"ensemble des exploitations (hors pacages collectifs)","groupe d'indicateurs",40,"cheptel",90,"oui"
668,"ra_3010",2003,"canton","2b60","vezzani","cheptel",5,"bovins d'un an ou plus","taille du troupeau",1,"ensemble","classe d'importance de l'exploitation",0.11,"petites exploitations","groupe d'indicateurs",40,"cheptel",23,"oui"
669,"ra_3010",2003,"canton","2b60","vezzani","cheptel",5,"bovins d'un an ou plus","taille du troupeau",1,"ensemble","classe d'importance de l'exploitation",0.12,"moyennes et grandes exploitations","groupe d'indicateurs",40,"cheptel",67,"oui"
670,"ra_3010",2003,"canton","2b60","vezzani","cheptel",6,"bovins de moins d'un an","taille du troupeau",1,"ensemble","classe d'importance de l'exploitation",0.0,"ensemble des exploitations (hors pacages collectifs)","groupe d'indicateurs",40,"cheptel",187,"oui"
671,"ra_3010",2003,"canton","2b60","vezzani","cheptel",7,"total equides","taille du troupeau",1,"ensemble","classe d'importance de l'exploitation",0.0,"ensemble des exploitations (hors pacages collectifs)","groupe d'indicateurs",40,"cheptel",26,"oui"
672,"ra_3010",2003,"canton","2b60","vezzani","cheptel",8,"chevres","taille du troupeau",1,"ensemble","classe d'importance de l'exploitation",0.0,"ensemble des exploitations (hors pacages collectifs)","groupe d'indicateurs",40,"cheptel",1632,"oui"
673,"ra_3010",2003,"canton","2b60","vezzani","cheptel",8,"chevres","taille du troupeau",1,"ensemble","classe d'importance de l'exploitation",0.12,"moyennes et grandes exploitations","groupe d'indicateurs",40,"cheptel",1632,"oui"
674,"ra_3010",2010,"canton","2a02","bastelica","cheptel",1,"total bovins","taille du troupeau",1,"ensemble","classe d'importance de l'exploitation",0.0,"ensemble des exploitations (hors pacages collectifs)","groupe d'indicateurs",40,"cheptel",609,"oui"
