"commune","canton","departement","territoire_de_projet"
"piano","fiumalto-d'ampugnani","haute-corse","castagniccia / mare e monti"
"pietricaggio","orezza-alesani","haute-corse","castagniccia / mare e monti"
"rezza","cruzini-cinarca","corse-du-sud","ouest corse"
"rusio","bustanico","haute-corse","centre corse"
"san-gavino-di-tenda","le haut-nebbio","haute-corse","pays bastiais"
"zuani","moita-verde","haute-corse","plaine orientale"
"antisanti","vezzani","haute-corse","plaine orientale"
"asco","castifao-morosaglia","haute-corse","centre corse"
"belgodere","belgodere","haute-corse","pays de balagne"
"borgo","borgo","haute-corse","pays bastiais"
"campana","orezza-alesani","haute-corse","castagniccia / mare e monti"
"carbuccia","celavo-mezzana","corse-du-sud","pays ajaccien"
"castifao","castifao-morosaglia","haute-corse","centre corse"
"castineta","castifao-morosaglia","haute-corse","centre corse"
"cognocoli-monticchi","santa-maria-siche","corse-du-sud","taravo / valinco / sartenais"
"costa","belgodere","haute-corse","pays de balagne"
"eccica-suarella","bastelica","corse-du-sud","pays ajaccien"
"forciolo","santa-maria-siche","corse-du-sud","taravo / valinco / sartenais"
"isolaccio-di-fiumorbo","prunelli-di-fiumorbo","haute-corse","plaine orientale"
"loreto-di-tallano","tallano-scopamene","corse-du-sud","extreme sud / alta rocca"
"lucciana","borgo","haute-corse","pays bastiais"
"ortiporio","alto-di-casaconi","haute-corse","pays bastiais"
"partinello","les deux-sevi","corse-du-sud","ouest corse"
"pietracorbara","sagro-di-santa-giulia","haute-corse","pays bastiais"
"pietraserena","bustanico","haute-corse","centre corse"
"santa-lucia-di-moriani","campoloro-di-moriani","haute-corse","castagniccia / mare e monti"
"serra-di-scopamene","tallano-scopamene","corse-du-sud","extreme sud / alta rocca"
"venzolasca","vescovato","haute-corse","castagniccia / mare e monti"
"zigliara","santa-maria-siche","corse-du-sud","taravo / valinco / sartenais"
"calvi","calvi","haute-corse","pays de balagne"
"cannelle","cruzini-cinarca","corse-du-sud","ouest corse"
"casaglione","cruzini-cinarca","corse-du-sud","ouest corse"
"la porta","fiumalto-d'ampugnani","haute-corse","castagniccia / mare e monti"
"loreto-di-casinca","vescovato","haute-corse","castagniccia / mare e monti"
"ortale","orezza-alesani","haute-corse","castagniccia / mare e monti"
"prunelli-di-casacconi","alto-di-casaconi","haute-corse","pays bastiais"
"rapaggio","orezza-alesani","haute-corse","castagniccia / mare e monti"
